id,x,y,strike,ground,timestamp
e69c1e47-406a-4c09-95b6-1221e58f3317,0.272,-2.553,false,false,2026-03-06T01:51:06.701Z
33bfb60b-39f9-4cf8-90b8-20e3e92d03cb,-0.334,-0.553,true,false,2026-03-06T01:51:34.314Z
15935dae-1dab-4610-9cbb-9ed673872f6b,-1.914,0.967,false,false,2026-03-06T01:51:48.465Z
8762d805-454b-4f86-8456-ddbfcd5028a8,-4.376,-3.113,false,false,2026-03-06T01:52:00.894Z
042ffb60-b87c-4106-8358-246e4c98132b,-5.368,1.287,false,false,2026-03-06T01:52:14.493Z
21f1e4eb-3e70-40d4-96b8-bf8860a70c14,0.162,0.807,true,false,2026-03-06T01:52:27.359Z
4d96920d-ba34-4d3d-89bf-55c257c5fd03,-2.337,1.987,false,false,2026-03-06T01:52:41.132Z
db1b0184-4d04-4a11-a9d8-8ede3204b903,-1.565,1.387,false,false,2026-03-06T01:52:56.937Z
b96ef261-e1a4-44c0-82ad-41b9a62ce0a5,1.429,0.447,false,false,2026-03-06T01:53:13.268Z
fe752724-80b8-4d3e-b31a-7f1ca1343d13,-2.906,1.287,false,false,2026-03-06T01:53:27.650Z
8e9382b7-e03d-4bc1-b954-dc5b474b2c2c,0.088,-0.553,true,false,2026-03-06T01:54:05.793Z
d337d57b-eb69-4536-bd5b-cb8c821275f1,0.23,-0.553,true,false,2026-03-06T01:54:05.961Z
e1d81660-d8f3-4466-b869-394fcda704f0,8.911,3.387,false,false,2026-03-06T01:54:35.966Z
b544455d-5f70-4fbb-8c55-6022c259f71e,0.509,0.107,true,false,2026-03-06T01:55:56.417Z
42a97720-59f3-4298-9c1b-23c3128ffee6,-5.16,-1.913,false,false,2026-03-06T01:56:17.103Z
d82fd0a7-5a23-4ca3-b0e2-32624495308a,0.007,-4.033,false,true,2026-03-06T01:56:38.790Z
7bcf122b-d9b8-47cf-8d5f-bd6628ab6410,3.353,3.627,false,false,2026-03-06T01:57:01.239Z
d2c8d311-e7fe-4f13-a264-9a45709f0ad8,4.19,-2.933,false,false,2026-03-06T01:57:20.631Z
e42668c4-d2e2-4316-baf8-33e7fb5a7f51,-5.346,-3.033,false,false,2026-03-06T01:57:54.921Z
a995ecce-8dfb-477b-a060-1c61764f425a,0.175,-2.313,false,false,2026-03-06T01:58:15.083Z
c586f075-f2df-4df0-a77e-628d6042eba4,0.063,-0.353,true,false,2026-03-06T01:58:41.044Z
2608e7a3-d881-4685-9a71-c62c98b1cd6c,2.48,0.827,false,false,2026-03-06T02:02:02.745Z
cabb122d-cc5a-4af4-a6cb-6551a4ff269f,-2.688,0.967,false,false,2026-03-06T02:02:19.369Z
4e575d1c-de16-4430-9a57-2a9221884585,-1.48,0.807,false,false,2026-03-06T02:02:36.757Z
d29c222e-9e10-4aa8-a907-c59ffc47b7ef,0.268,-3.953,false,true,2026-03-06T02:03:45.493Z
d13ba1bc-eb39-4947-bd68-b4d0ac532e56,-1.126,1.787,false,false,2026-03-06T02:04:05.454Z
67d38dc2-2dca-4c09-af07-1502ec09b63f,2.052,4.447,false,false,2026-03-06T02:04:28.357Z
85500ba6-f46d-410b-8a34-f8eda3548f7a,-4.491,-3.873,false,true,2026-03-06T02:04:52.642Z
caa0ccdf-079d-4f4a-8728-69632dd8403d,-3.004,-2.173,false,false,2026-03-06T02:05:12.865Z
4929d787-bfa3-4913-bda7-59e3c0eef812,-1.461,1.087,false,false,2026-03-06T02:05:31.593Z
29a2eaaa-57ef-40c0-8c96-859f6c87ff95,0.844,7.147,false,false,2026-03-06T02:06:27.990Z
0e39fcf4-1cd3-4406-9dc0-bf5043379997,0.138,-0.293,true,false,2026-03-06T02:06:45.257Z
858e932d-7f59-4d09-9c33-3c8193646d54,4.394,-3.173,false,false,2026-03-06T02:07:04.101Z
8117c9ca-5a03-4270-b78e-7f0438e1c24d,-3.245,3.207,false,false,2026-03-06T02:07:25.831Z
efd7bbe9-286c-4057-a4a2-614626b3c042,-4.881,-0.373,false,false,2026-03-06T02:07:44.876Z
a0a60e99-0fc2-42fb-8619-1e4dd2e6d096,-0.067,3.227,false,false,2026-03-06T02:08:05.962Z
ef660c62-c833-4634-96b1-a36abae04b9c,-1.814,-3.753,false,true,2026-03-06T02:08:23.998Z
85e6b5c7-09b8-4375-a7d1-b05c6410518d,-4.639,-1.873,false,false,2026-03-06T02:08:43.296Z
c45e420b-dd13-40fa-8460-6b1763ca392e,1.067,-0.233,true,false,2026-03-06T02:09:02.365Z
333a9b14-32be-41fa-8bbf-5a990ee15809,1.067,0.247,true,false,2026-03-06T02:09:24.660Z
0657b00c-77b3-4b05-bbe1-178fafd4479a,0.1,1.907,false,false,2026-03-06T02:09:42.222Z
69256f6d-78c8-46eb-8b6e-4073e34042d3,-2.725,-4.473,false,true,2026-03-06T02:10:05.671Z
