id,x,y,strike,ground,timestamp
b08a0b58-441f-418b-8b11-e955b0e3d4cb,3.895,3.367,false,false,2026-03-07T19:51:50.441Z
35ff5511-e530-45f8-ac23-f8c6bc945864,0.245,7.247,false,false,2026-03-07T19:52:01.452Z
6ed82377-58b5-4a50-9674-d2cd456bae6c,-1.003,-1.593,false,false,2026-03-07T19:52:15.089Z
b711cb36-dcb1-40e9-bffb-47ac5c7c3c03,-3.664,-2.053,false,false,2026-03-07T19:52:29.584Z
f2cb5939-9f73-44e2-b39d-9accb91997a5,1.611,-0.833,false,false,2026-03-07T19:52:45.690Z
a84b7a0b-d58b-43e5-9589-f038f098962b,5.308,4.227,false,false,2026-03-07T19:52:58.965Z
41075e1d-c6cb-42fd-ba95-279bb20f3a81,2.694,5.227,false,false,2026-03-07T19:53:12.958Z
3a0d64d8-96f8-4934-9ed7-061b567386ff,0.998,-4.153,false,true,2026-03-07T19:53:24.827Z
3ae0eda6-487a-420c-b609-4ad21269d293,-0.155,0.927,true,false,2026-03-07T19:53:39.919Z
37c1d3ca-7c84-41b1-911c-4399149206f5,-2.086,1.207,false,false,2026-03-07T19:53:56.235Z
3c66d941-7250-4a25-8114-e9c9e3f9e866,-1.451,-3.473,false,false,2026-03-07T19:54:22.214Z
4a656755-3588-445c-ba51-3fb45ea70bcb,-1.451,0.647,false,false,2026-03-07T19:54:40.253Z
b9f1ad10-a250-4b01-8d22-870e053ec2bc,1.658,2.947,false,false,2026-03-07T19:54:57.873Z
15de3fca-e9f0-4ca2-bf96-7da034908107,0.339,2.407,false,false,2026-03-07T19:55:24.242Z
897b226d-c8d0-411c-b2ba-6006c79f9eb8,-3.299,3.887,false,false,2026-03-07T19:55:44.257Z
e59af8dd-6703-493e-83f4-d79aa0b4e4de,-3.92,-3.753,false,true,2026-03-07T19:55:59.478Z
50bf5e63-1713-4cbc-9089-3f36e7b8fbe5,5.211,-1.193,false,false,2026-03-07T19:56:15.822Z
3b817cb1-6c4a-48f1-8f31-5ff66249b09a,-2.008,-0.973,false,false,2026-03-07T19:56:32.102Z
b69c7f07-6966-4af2-862c-edd972949a4f,1.793,-0.513,false,false,2026-03-07T19:56:49.392Z
fc7b068b-7a68-408f-9496-6c2be85d7287,-1.888,-1.813,false,false,2026-03-07T19:57:30.277Z
18df93ee-3a44-4595-8a45-cc4e87028b31,-3.538,-3.813,false,true,2026-03-07T19:57:52.348Z
3ea6aa8f-aa25-4b5e-8b47-d94c383defc2,-2.127,0.727,false,false,2026-03-07T20:04:42.016Z
db059a58-c511-417e-a5f0-718b5ec4cc79,-4.781,-3.213,false,false,2026-03-07T20:04:59.290Z
ff4bfc7b-6a61-4a95-a6d6-cc4cc9bd2e69,-2.582,1.287,false,false,2026-03-07T20:05:15.665Z
93fa776a-4332-4fdf-bfa0-d3ab720d1de4,0.239,1.867,false,false,2026-03-07T20:05:30.868Z
c903a6d4-9a5a-428f-a68e-421fb264cbfa,-0.645,-2.793,false,false,2026-03-07T20:05:46.421Z
d4f17ec1-426a-4b79-ae62-d65b89d0b390,2.916,4.707,false,false,2026-03-07T20:06:03.150Z
98cd216d-4616-4a96-bcfc-c6f60b53998e,-3.418,-2.053,false,false,2026-03-07T20:06:59.036Z
8a3a5116-5b40-4c48-849e-17428d70e45c,-3.442,-3.313,false,false,2026-03-07T20:07:15.141Z
56bb7bc7-6609-4a91-92db-e930dde28d97,-2.869,-3.373,false,false,2026-03-07T20:07:29.616Z
fcdb8313-23cd-41d1-b188-a50b55d17e6b,0.048,-0.033,true,false,2026-03-07T20:07:45.768Z
911e364f-fbe3-4bc8-bcc1-fa7af03b0c27,4.494,4.467,false,false,2026-03-07T20:08:06.487Z
a6747fe5-4b91-49a9-98b9-7e60c4adb3f1,-5.857,0.407,false,false,2026-03-07T20:08:24.429Z
f830ce51-8c9e-4e34-ba16-a650ef98c2c7,-1.195,2.407,false,false,2026-03-07T20:08:39.623Z
5664a0f3-efff-4fc4-a2f8-180662c6bb94,-3.179,-3.273,false,false,2026-03-07T20:08:53.762Z
8484bb5d-326e-4485-ba57-c8ab6b9da75d,1.363,-0.293,true,false,2026-03-07T20:09:12.615Z
ba23c80b-a7f1-41cd-a40a-f03ef359a845,1.578,-2.493,false,false,2026-03-07T20:09:29.613Z
820c1952-c132-4ec0-90f6-bae0b45bed0b,-2.916,1.267,false,false,2026-03-07T20:09:44.003Z
6b9492ed-0df9-4d14-a41e-f94c63661c75,1.482,2.307,false,false,2026-03-07T20:09:59.430Z
ede95c7d-1786-42b8-8476-0f3bf71959e7,0.43,0.247,true,false,2026-03-07T20:10:16.870Z
a88aa120-afd8-422c-b81a-edefdf3d5a9a,0.55,-4.033,false,true,2026-03-07T20:10:33.642Z
eeac8024-8728-4145-bb5d-70ecdbc48c0c,0.239,1.427,true,false,2026-03-07T20:10:50.669Z
