id,x,y,strike,ground,timestamp
fff1a491-0c27-4597-9ba3-cbfdfda67a06,3.029,3.041,false,false,2026-02-08T00:44:21.960Z
787f23ab-7f67-41d0-853a-1119d1e25656,-4.343,3.261,false,false,2026-02-08T00:46:03.234Z
af89e541-0882-4fd0-a36b-aeea435c19a1,-3.686,-2.499,false,false,2026-02-08T00:46:23.932Z
be94fcad-c6c1-48f4-871e-851dd009a2ab,4.4,-2.399,false,false,2026-02-08T00:46:24.396Z
7861f31b-5153-4d04-84d7-6c248aa7dd6d,3.571,1.521,false,false,2026-02-08T00:46:24.771Z
3d1635fe-1e84-42f9-a2c7-9bb644579496,-3.771,2.201,false,false,2026-02-08T00:46:25.261Z
eb93adf1-286b-4d15-a7b3-8da5d1fc8883,2.4,3.481,false,false,2026-02-08T00:47:21.388Z
288e277c-ef62-4323-aed3-be09bd7d5d78,4.514,-1.939,false,false,2026-02-08T00:47:29.743Z
a716bfd7-859a-4cc6-87ec-591d98f300d9,3.471,4.061,false,false,2026-02-08T00:52:37.560Z
1e202e95-d49b-4a92-89e4-03c7bcb7301c,-3.757,5.001,false,false,2026-02-08T00:52:39.549Z
02f51e79-1294-418b-833c-d415c75029ff,-4.9,5.141,false,false,2026-02-08T00:52:41.586Z
ba49d82d-51dd-4e8c-b657-35e188cd7f9e,-3.814,4.181,false,false,2026-02-08T00:52:42.265Z
